City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3hrs),Snow inches (last 3hrs)
142,Bardiyah,LY,2020-05-10 17:30:57,31.76,25.09,66.61,64,0,5.93,clear sky,0,0
143,Salinas,US,2020-05-10 17:27:39,36.68,-121.66,59.0,71,90,3.36,overcast clouds,0,0
144,Carnarvon,AU,2020-05-10 17:30:57,-24.87,113.63,72.9,59,78,7.58,broken clouds,0,0
145,Fairbanks,US,2020-05-10 17:30:32,64.84,-147.72,66.0,36,1,2.77,clear sky,0,0
146,Yenagoa,NG,2020-05-10 17:30:59,4.92,6.26,75.2,96,100,5.19,overcast clouds,0,0
147,Belmonte,BR,2020-05-10 17:30:59,-15.86,-38.88,78.8,47,40,8.05,scattered clouds,0,0
148,Yeppoon,AU,2020-05-10 17:30:59,-23.13,150.73,64.4,52,6,5.82,clear sky,0,0
149,Namibe,AO,2020-05-10 17:30:59,-15.2,12.15,80.19,55,23,6.53,few clouds,0,0
150,Vianen,NL,2020-05-10 17:28:42,51.99,5.09,53.01,52,100,8.99,overcast clouds,0,0
151,Severo-Kurilsk,RU,2020-05-10 17:30:59,50.68,156.12,32.92,93,64,9.37,broken clouds,0,0
152,La Ronge,CA,2020-05-10 17:31:00,55.1,-105.28,35.6,47,75,8.05,broken clouds,0,0
153,Goalpara,IN,2020-05-10 17:31:00,26.17,90.62,81.36,41,7,1.23,clear sky,0,0
154,East London,ZA,2020-05-10 17:31:00,-33.02,27.91,74.14,39,0,5.44,clear sky,0,0
155,Pacific Grove,US,2020-05-10 17:30:00,36.62,-121.92,59.0,72,75,6.93,broken clouds,0,0
156,Saldanha,ZA,2020-05-10 17:31:00,-33.01,17.94,66.2,52,0,6.93,clear sky,0,0
157,Norman Wells,CA,2020-05-10 17:31:00,65.28,-126.83,46.4,52,5,11.41,clear sky,0,0
158,Itarema,BR,2020-05-10 17:31:01,-2.92,-39.92,77.86,88,100,7.87,light rain,0,0
159,Houma,US,2020-05-10 17:31:01,29.6,-90.72,78.01,53,1,3.36,clear sky,0,0
160,Atlantic City,US,2020-05-10 17:28:17,39.36,-74.42,61.0,26,1,12.75,clear sky,0,0
161,Lagoa,PT,2020-05-10 17:31:01,39.05,-27.98,58.64,75,15,25.72,few clouds,0,0
162,Shimoda,JP,2020-05-10 17:31:01,34.67,138.95,69.8,94,75,14.99,light intensity shower rain,0,0
163,Tura,IN,2020-05-10 17:31:01,25.52,90.22,78.93,46,3,2.42,clear sky,0,0
164,Lamu,KE,2020-05-10 17:31:02,-2.27,40.9,79.36,86,100,17.18,light rain,0,0
165,Oussouye,SN,2020-05-10 17:31:02,12.48,-16.55,86.0,83,20,6.93,few clouds,0,0
166,Dapdap,PH,2020-05-10 17:31:02,12.06,125.49,81.77,83,100,8.75,overcast clouds,0,0
167,Vestmannaeyjar,IS,2020-05-10 17:31:02,63.44,-20.27,46.4,70,40,13.87,scattered clouds,0,0
168,Lorengau,PG,2020-05-10 17:31:02,-2.02,147.27,83.14,80,36,7.9,light rain,0,0
169,Arawa,PG,2020-05-10 17:31:03,-6.21,155.54,78.46,78,93,2.17,overcast clouds,0,0
170,Taoudenni,ML,2020-05-10 17:31:03,22.68,-3.98,104.61,7,19,10.13,few clouds,0,0
171,Buraydah,SA,2020-05-10 17:30:39,26.33,43.98,86.0,37,40,9.17,dust,0,0
172,Henties Bay,NA,2020-05-10 17:31:03,-22.12,14.28,72.25,44,0,13.24,clear sky,0,0
173,Aklavik,CA,2020-05-10 17:31:04,68.22,-135.01,41.0,65,40,9.17,scattered clouds,0,0
174,Magadan,RU,2020-05-10 17:31:04,59.57,150.8,34.47,85,99,6.6,overcast clouds,0,0
175,Kieta,PG,2020-05-10 17:31:04,-6.22,155.63,79.97,76,96,2.77,overcast clouds,0,0
176,Avera,US,2020-05-10 17:31:04,33.19,-82.53,69.8,45,1,4.7,clear sky,0,0
177,Sibu,MY,2020-05-10 17:31:05,2.3,111.82,78.8,94,75,0.98,broken clouds,0,0
178,Pisco,PE,2020-05-10 17:31:05,-13.7,-76.22,71.6,78,2,8.05,clear sky,0,0
179,Atar,MR,2020-05-10 17:31:05,20.52,-13.05,100.47,9,61,13.24,broken clouds,0,0
180,Auki,SB,2020-05-10 17:31:05,-8.77,160.7,78.78,87,8,5.66,light rain,0,0
181,Saint-Augustin,CA,2020-05-10 17:31:05,51.23,-58.65,36.46,83,95,8.97,overcast clouds,0,0
182,Half Moon Bay,US,2020-05-10 17:29:38,37.46,-122.43,63.0,63,40,10.29,scattered clouds,0,0
183,Puerto Colombia,CO,2020-05-10 17:28:40,10.99,-74.95,91.4,63,20,13.87,few clouds,0,0
184,Pevek,RU,2020-05-10 17:31:06,69.7,170.31,35.73,83,47,15.59,scattered clouds,0,0
185,Dingle,PH,2020-05-10 17:31:06,11.0,122.67,79.41,79,99,4.45,overcast clouds,0,0
186,Harper,LR,2020-05-10 17:31:07,4.38,-7.72,83.59,78,16,14.14,few clouds,0,0
187,Neuquen,AR,2020-05-10 17:30:28,-38.95,-68.06,68.0,22,2,21.92,dust,0,0
188,Petropavlovsk-Kamchatskiy,RU,2020-05-10 17:30:37,53.05,158.65,33.8,64,1,8.95,clear sky,0,0
189,Ilebo,CD,2020-05-10 17:31:07,-4.32,20.58,73.9,95,100,2.98,overcast clouds,0,0
190,Bandarbeyla,SO,2020-05-10 17:31:07,9.49,50.81,83.37,75,10,10.8,clear sky,0,0
191,Suoyarvi,RU,2020-05-10 17:31:07,62.08,32.35,44.04,64,50,3.67,scattered clouds,0,0
192,Qasigiannguit,GL,2020-05-10 17:31:08,68.82,-51.19,32.0,91,94,10.29,overcast clouds,0,0
193,Tilichiki,RU,2020-05-10 17:31:08,60.47,166.1,31.12,100,100,1.48,light rain,0,0
194,Gornopravdinsk,RU,2020-05-10 17:31:08,60.05,69.9,63.55,53,100,6.06,overcast clouds,0,0
195,Bredasdorp,ZA,2020-05-10 17:31:08,-34.53,20.04,60.8,87,0,3.36,clear sky,0,0
196,Codrington,AU,2020-05-10 17:31:08,-38.27,141.97,46.04,93,4,9.91,clear sky,0,0
197,Faanui,PF,2020-05-10 17:31:09,-16.48,-151.75,81.0,80,28,11.3,light rain,0,0
198,Dubuque,US,2020-05-10 17:31:09,42.48,-90.87,44.01,86,90,23.04,light rain,0,0
199,Maragogi,BR,2020-05-10 17:31:09,-9.01,-35.22,81.5,76,58,10.65,broken clouds,0,0
200,Dongsheng,CN,2020-05-10 17:27:08,39.82,109.98,42.69,51,63,12.71,broken clouds,0,0
201,Port Alfred,ZA,2020-05-10 17:31:09,-33.59,26.89,71.01,55,13,6.17,few clouds,0,0
202,Kenora,CA,2020-05-10 17:31:09,49.82,-94.43,37.4,37,75,12.75,broken clouds,0,0
203,Mayo,US,2020-05-10 17:31:10,38.89,-76.51,63.0,29,1,9.17,clear sky,0,0
204,Kavieng,PG,2020-05-10 17:31:10,-2.57,150.8,83.35,80,80,10.25,broken clouds,0,0
205,Albury,AU,2020-05-10 17:31:03,-36.08,146.92,44.6,93,90,2.55,overcast clouds,0,0
206,Leningradskiy,RU,2020-05-10 17:31:10,69.38,178.42,35.26,91,100,20.42,overcast clouds,0,0
207,Pilane,BW,2020-05-10 17:31:10,-24.45,26.13,62.6,59,0,1.12,clear sky,0,0
208,Sinnamary,GF,2020-05-10 17:31:11,5.38,-52.95,78.3,92,67,13.11,heavy intensity rain,0,0
209,Isangel,VU,2020-05-10 17:31:11,-19.55,169.27,69.75,72,8,6.31,clear sky,0,0
210,Cabo San Lucas,MX,2020-05-10 17:31:11,22.89,-109.91,86.0,39,40,4.7,scattered clouds,0,0
211,Katsuura,JP,2020-05-10 17:31:11,35.13,140.3,70.0,93,100,3.0,overcast clouds,0,0
212,Linjiang,CN,2020-05-10 17:31:11,41.81,126.91,47.03,68,20,7.49,few clouds,0,0
